@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
1, 3, 9, 5, 91.1, 91.3, 738.1, 7.2, 19.1, 46, 2.2, 0, 0.33
4, 4, 3, 1, 87.6, 52.2, 103.8, 5, 11, 46, 5.8, 0, 0
1, 2, 8, 3, 92.1, 111.2, 654.1, 9.6, 16.6, 47, 0.9, 0, 0
6, 5, 9, 2, 91.9, 111.7, 770.3, 6.5, 21.1, 35, 2.7, 0, 5.65
4, 4, 9, 6, 91.2, 124.4, 795.3, 8.5, 17.1, 41, 2.2, 0, 11.22
6, 6, 8, 1, 96.2, 175.5, 661.8, 16.8, 23.9, 42, 2.2, 0, 0
6, 3, 10, 2, 90.6, 35.4, 669.1, 6.7, 21.7, 24, 4.5, 0, 0
2, 4, 9, 7, 50.4, 46.2, 706.6, 0.4, 12.2, 78, 6.3, 0, 0
9, 4, 7, 1, 92.3, 92.1, 442.1, 9.8, 22.8, 27, 4.5, 0, 1.63
6, 5, 9, 6, 91.2, 94.3, 744.4, 8.4, 15.4, 57, 4.9, 0, 39.35
