@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
2, 4, 8, 7, 91.8, 175.1, 700.7, 13.8, 22.4, 54, 7.6, 0, 2.87
5, 4, 8, 4, 94.8, 222.4, 698.6, 13.9, 20.3, 42, 2.7, 0, 0
6, 5, 9, 4, 92.8, 119, 783.5, 7.5, 16.8, 28, 4, 0, 1.01
7, 4, 9, 5, 92.4, 117.9, 668, 12.2, 19, 34, 5.8, 0, 0
2, 4, 8, 3, 92.2, 91.6, 503.6, 9.6, 20.7, 70, 2.2, 0, 0.75
4, 5, 9, 4, 92.9, 137, 706.4, 9.2, 22.1, 34, 1.8, 0, 14.57
3, 4, 9, 5, 92.1, 99, 745.3, 9.6, 17.4, 57, 4.5, 0, 0
4, 4, 9, 1, 90.9, 126.5, 686.5, 7, 17.7, 39, 2.2, 0, 3.07
1, 4, 7, 2, 92.3, 96.2, 450.2, 12.1, 23.4, 31, 5.4, 0, 0
1, 5, 9, 1, 90.9, 126.5, 686.5, 7, 21, 42, 2.2, 0, 7.3
2, 2, 8, 4, 91.7, 114.3, 661.3, 6.3, 18.6, 44, 4.5, 0, 0
1, 4, 9, 1, 91.5, 130.1, 807.1, 7.5, 21.3, 35, 2.2, 0, 28.19
1, 2, 9, 4, 92.9, 137, 706.4, 9.2, 22.4, 34, 2.2, 0, 0
6, 4, 8, 5, 94.8, 227, 706.7, 12, 23.3, 34, 3.1, 0, 28.74
2, 2, 8, 4, 91.6, 248.4, 753.8, 6.3, 20.4, 56, 2.2, 0, 0
2, 5, 9, 5, 90.3, 290, 855.3, 7.4, 16.2, 58, 3.6, 0, 9.96
7, 4, 9, 5, 92.1, 99, 745.3, 9.6, 20.6, 43, 3.6, 0, 2.03
8, 6, 3, 7, 89.3, 51.3, 102.2, 9.6, 11.4, 99, 1.8, 0, 0
8, 6, 8, 4, 94.8, 222.4, 698.6, 13.9, 23.9, 38, 6.7, 0, 0
1, 3, 8, 4, 94.8, 222.4, 698.6, 13.9, 26.2, 34, 5.8, 0, 0
8, 6, 9, 1, 91.6, 108.4, 764, 6.2, 22.7, 35, 2.2, 0, 7.48
1, 2, 8, 6, 93.7, 231.1, 715.1, 8.4, 25.9, 32, 3.1, 0, 0
7, 4, 8, 7, 91.4, 142.4, 601.4, 10.6, 16.3, 60, 5.4, 0, 0
3, 4, 8, 7, 91.6, 181.3, 613, 7.6, 24.6, 44, 4, 0, 3.2
8, 6, 8, 7, 92.3, 85.3, 488, 14.7, 22.2, 29, 5.4, 0, 0
6, 5, 4, 4, 81.5, 9.1, 55.2, 2.7, 5.8, 54, 5.8, 0, 10.93
8, 8, 8, 3, 91.7, 191.4, 635.9, 7.8, 26.2, 36, 4.5, 0, 185.76
2, 2, 3, 7, 89.3, 51.3, 102.2, 9.6, 11.5, 39, 5.8, 0, 0
1, 5, 9, 2, 91, 129.5, 692.6, 7, 21.6, 33, 2.2, 0, 11.53
3, 4, 9, 4, 91.1, 88.2, 731.7, 8.3, 22.8, 46, 4, 0, 4.95
2, 2, 8, 4, 93, 75.3, 466.6, 7.7, 18.8, 35, 4.9, 0, 0
6, 5, 9, 3, 92.6, 115.4, 777.1, 8.8, 24.3, 27, 4.9, 0, 0
6, 3, 9, 7, 91.7, 75.6, 718.3, 7.8, 17.7, 39, 3.6, 0, 0
1, 2, 7, 6, 90, 51.3, 296.3, 8.7, 16.6, 53, 5.4, 0, 0.71
4, 3, 6, 4, 93, 103.8, 316.7, 10.8, 26.4, 35, 2.7, 0, 10.08
3, 4, 3, 3, 90.2, 18.5, 41.1, 7.3, 11.2, 41, 5.4, 0, 5.55
6, 3, 9, 5, 88.6, 69.7, 706.8, 5.8, 20.6, 37, 1.8, 0, 0
4, 5, 9, 2, 91.1, 132.3, 812.1, 12.5, 16.4, 27, 3.6, 0, 0
7, 5, 9, 6, 92.5, 88, 698.6, 7.1, 17.8, 51, 7.2, 0, 0
4, 4, 9, 6, 92.5, 88, 698.6, 7.1, 19.6, 48, 2.7, 0, 0
7, 4, 9, 5, 94.3, 85.1, 692.3, 15.9, 20.1, 47, 4.9, 0, 26.13
6, 5, 3, 1, 87.2, 15.1, 36.9, 7.1, 10.2, 45, 5.8, 0, 3.18
4, 3, 9, 4, 92.9, 137, 706.4, 9.2, 27.7, 24, 2.2, 0, 0
6, 4, 2, 2, 75.1, 4.4, 16.2, 1.9, 5.1, 77, 5.4, 0, 2.14
4, 4, 9, 3, 90.1, 82.9, 735.7, 6.2, 12.9, 74, 4.9, 0, 0
8, 6, 12, 3, 84, 27.8, 354.6, 5.3, 5.1, 61, 8, 0, 11.19
8, 6, 8, 3, 95.2, 217.7, 690, 18, 28.2, 29, 1.8, 0, 5.86
5, 4, 3, 1, 90.1, 39.7, 86.6, 6.2, 13.2, 40, 5.4, 0, 0.95
2, 2, 8, 2, 94.6, 212.1, 680.9, 9.5, 27.9, 27, 2.2, 0, 0
3, 4, 8, 1, 91.5, 145.4, 608.2, 10.7, 10.3, 74, 2.2, 0, 0
4, 5, 1, 7, 18.7, 1.1, 171.4, 0, 5.2, 100, 0.9, 0, 0
3, 6, 6, 5, 91.1, 94.1, 232.1, 7.1, 19.2, 38, 4.5, 0, 0
3, 4, 9, 7, 92.4, 124.1, 680.7, 8.5, 22.5, 42, 5.4, 0, 0
4, 5, 9, 2, 91.1, 132.3, 812.1, 12.5, 15.9, 38, 5.4, 0, 1.75
2, 2, 9, 5, 92.4, 117.9, 668, 12.2, 19.6, 33, 5.4, 0, 0
7, 4, 8, 6, 93.5, 139.4, 594.2, 20.3, 23.7, 32, 5.8, 0, 0
4, 5, 9, 7, 91, 276.3, 825.1, 7.1, 13.8, 77, 7.6, 0, 0
4, 5, 9, 3, 92.9, 133.3, 699.6, 9.2, 24.3, 25, 4, 0, 9.41
2, 4, 8, 3, 95.2, 217.7, 690, 18, 30.8, 19, 4.5, 0, 0
6, 5, 9, 4, 92.8, 119, 783.5, 7.5, 21.6, 27, 2.2, 0, 0
3, 4, 3, 2, 88.1, 25.7, 67.6, 3.8, 15.8, 27, 7.6, 0, 0
4, 3, 7, 7, 93.7, 101.3, 423.4, 14.7, 26.1, 45, 4, 0, 7.36
6, 4, 6, 7, 90.4, 89.5, 290.8, 6.4, 14.3, 46, 1.8, 0, 0.9
3, 4, 8, 7, 91.4, 142.4, 601.4, 10.6, 19.8, 39, 5.4, 0, 0
7, 4, 8, 6, 91.6, 273.8, 819.1, 7.7, 15.5, 72, 8, 0, 1.94
4, 3, 7, 4, 93.2, 114.4, 560, 9.5, 30.2, 22, 4.9, 0, 0
2, 2, 8, 6, 93.7, 231.1, 715.1, 8.4, 21.9, 42, 2.2, 0, 174.63
7, 4, 10, 6, 90.6, 43.7, 686.9, 6.7, 14.6, 33, 1.3, 0, 0
5, 5, 3, 6, 91.7, 35.8, 80.8, 7.8, 15.1, 27, 5.4, 0, 0
8, 6, 8, 4, 90.7, 194.1, 643, 6.8, 21.3, 41, 3.6, 0, 0
7, 5, 8, 6, 93.7, 231.1, 715.1, 8.4, 26.4, 33, 3.6, 0, 0
9, 4, 6, 6, 90.5, 61.1, 252.6, 9.4, 24.5, 50, 3.1, 0, 70.32
8, 6, 6, 3, 91.2, 147.8, 377.2, 12.7, 19.6, 43, 4.9, 0, 0
5, 4, 9, 5, 92.1, 99, 745.3, 9.6, 10.1, 75, 3.6, 0, 0
8, 6, 8, 6, 92.2, 81.8, 480.8, 11.9, 16.4, 43, 4, 0, 71.3
5, 4, 9, 3, 92.9, 133.3, 699.6, 9.2, 21.9, 35, 1.8, 0, 2.57
4, 4, 9, 5, 92.1, 99, 745.3, 9.6, 20.8, 35, 4.9, 0, 13.06
4, 5, 8, 4, 89.4, 266.2, 803.3, 5.6, 17.4, 54, 3.1, 0, 0
4, 4, 8, 5, 94.3, 167.6, 684.4, 13, 21.8, 53, 3.1, 0, 6.54
6, 4, 9, 2, 91, 129.5, 692.6, 7, 18.7, 43, 2.7, 0, 103.39
1, 4, 9, 5, 92.5, 122, 789.7, 10.2, 21.1, 39, 2.2, 0, 8.12
4, 5, 7, 5, 91.6, 100.2, 466.3, 6.3, 22.9, 40, 1.3, 0, 2.64
5, 6, 9, 3, 94.3, 85.1, 692.3, 15.9, 25.9, 24, 4, 0, 0
4, 4, 7, 2, 79.5, 60.6, 366.7, 1.5, 23.3, 37, 3.1, 0, 0
