@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
7, 5, 10, 1, 91.7, 48.5, 696.1, 11.1, 16.1, 44, 4, 0, 49.37
4, 4, 9, 4, 92.4, 96.2, 739.4, 8.6, 19.2, 24, 4.9, 0, 3.78
2, 4, 8, 3, 92.1, 111.2, 654.1, 9.6, 20.5, 35, 4, 0, 1.64
8, 6, 8, 6, 89.4, 253.6, 768.4, 9.7, 14.2, 73, 2.7, 0, 0
4, 5, 9, 6, 92.5, 121.1, 674.4, 8.6, 17.7, 25, 3.1, 0, 154.88
4, 4, 9, 7, 92.4, 124.1, 680.7, 8.5, 16.9, 60, 1.3, 0, 29.48
1, 2, 8, 4, 91, 163.2, 744.4, 10.1, 26.7, 35, 1.8, 0, 5.8
8, 6, 8, 3, 93.1, 157.3, 666.7, 13.5, 28.7, 28, 2.7, 0, 0
4, 4, 3, 6, 91.7, 35.8, 80.8, 7.8, 17, 27, 4.9, 0, 28.66
8, 6, 8, 4, 91.6, 248.4, 753.8, 6.3, 20.4, 56, 2.2, 0, 0
7, 4, 9, 3, 90.1, 82.9, 735.7, 6.2, 15.4, 57, 4.5, 0, 37.71
6, 3, 2, 5, 84.1, 7.3, 52.8, 2.7, 14.7, 42, 2.7, 0, 0
4, 5, 3, 5, 91.2, 48.3, 97.8, 12.5, 15.8, 27, 7.6, 0, 0
1, 4, 9, 7, 89.6, 84.1, 714.3, 5.7, 19, 52, 2.2, 0, 0
5, 4, 8, 5, 91, 166.9, 752.6, 7.1, 21.1, 71, 7.6, 1.4, 2.17
4, 3, 8, 3, 92.1, 111.2, 654.1, 9.6, 20.4, 42, 4.9, 0, 0
6, 5, 3, 3, 93.4, 17.3, 28.3, 9.9, 13.8, 24, 5.8, 0, 0
3, 4, 7, 3, 91.9, 133.6, 520.5, 8, 14.2, 58, 4, 0, 0
2, 2, 8, 6, 93.5, 139.4, 594.2, 20.3, 22.9, 31, 7.2, 0, 15.45
4, 5, 8, 1, 96.2, 175.5, 661.8, 16.8, 32.6, 26, 3.1, 0, 2.77
3, 4, 3, 3, 93.4, 17.3, 28.3, 9.9, 8.9, 35, 8, 0, 0
1, 4, 9, 2, 91, 129.5, 692.6, 7, 21.7, 38, 2.2, 0, 0.43
2, 4, 8, 7, 81.6, 56.7, 665.6, 1.9, 21.9, 71, 5.8, 0, 54.29
5, 4, 9, 5, 90.3, 290, 855.3, 7.4, 16.2, 58, 3.6, 0, 0
7, 4, 6, 7, 94.3, 96.3, 200, 56.1, 21, 44, 4.5, 0, 0
1, 2, 9, 4, 92.9, 137, 706.4, 9.2, 25.4, 27, 2.2, 0, 0
8, 6, 8, 1, 92.3, 88.9, 495.6, 8.5, 24.1, 27, 3.1, 0, 0
7, 5, 6, 7, 93.1, 180.4, 430.8, 11, 22.2, 48, 1.3, 0, 0
7, 5, 8, 2, 96.1, 181.1, 671.2, 14.3, 21.6, 65, 4.9, 0.8, 0
8, 6, 8, 2, 92.1, 152.6, 658.2, 14.3, 20.1, 58, 4.5, 0, 9.27
4, 5, 2, 6, 84.7, 8.2, 55, 2.9, 14.2, 46, 4, 0, 0
7, 4, 9, 5, 92.1, 99, 745.3, 9.6, 18.7, 50, 2.2, 0, 5.97
7, 4, 7, 6, 91.6, 104.2, 474.9, 9, 24.2, 32, 1.8, 0, 0
6, 5, 3, 6, 91.7, 35.8, 80.8, 7.8, 17.4, 25, 4.9, 0, 0
1, 3, 8, 5, 95.9, 158, 633.6, 11.3, 27.5, 29, 4.5, 0, 43.32
8, 6, 7, 7, 88.9, 263.1, 795.9, 5.2, 29.3, 27, 3.6, 0, 6.3
4, 4, 8, 3, 95.1, 141.3, 605.8, 17.7, 20.6, 58, 1.3, 0, 0
1, 4, 8, 3, 91.7, 191.4, 635.9, 7.8, 19.9, 50, 4, 0, 82.75
1, 4, 9, 4, 92.8, 119, 783.5, 7.5, 16.8, 28, 4, 0, 7.21
3, 3, 9, 6, 92.2, 102.3, 751.5, 8.4, 24.2, 27, 3.1, 0, 6.58
4, 5, 9, 1, 88.6, 91.8, 709.9, 7.1, 17.4, 56, 5.4, 0, 0
1, 4, 8, 6, 94.4, 146, 614.7, 11.3, 25.6, 42, 4, 0, 0
7, 3, 3, 1, 87.6, 52.2, 103.8, 5, 11, 46, 5.8, 0, 27.35
7, 5, 9, 6, 92.5, 88, 698.6, 7.1, 22.8, 40, 4, 0, 0
2, 2, 7, 5, 88.3, 150.3, 309.9, 6.8, 13.4, 79, 3.6, 0, 37.02
2, 2, 2, 5, 86.6, 13.2, 43, 5.3, 12.3, 51, 0.9, 0, 0
6, 3, 11, 2, 79.5, 3, 106.7, 1.1, 11.8, 31, 4.5, 0, 0
3, 4, 8, 7, 91.4, 142.4, 601.4, 10.6, 19.8, 39, 5.4, 0, 0
3, 4, 3, 6, 69, 2.4, 15.5, 0.7, 17.4, 24, 5.4, 0, 0
9, 5, 6, 3, 93.3, 49.5, 297.7, 14, 28, 34, 4.5, 0, 0
8, 6, 8, 7, 91.4, 142.4, 601.4, 10.6, 19.6, 41, 5.8, 0, 196.48
8, 6, 9, 5, 91.1, 91.3, 738.1, 7.2, 20.7, 46, 2.7, 0, 30.18
4, 4, 10, 6, 90.6, 43.7, 686.9, 6.7, 18.4, 25, 3.1, 0, 24.23
4, 4, 8, 4, 95.8, 152, 624.1, 13.8, 32.4, 21, 4.5, 0, 0
4, 5, 8, 7, 92, 203.2, 664.5, 8.1, 10.4, 75, 0.9, 0, 0
6, 3, 9, 1, 91.5, 130.1, 807.1, 7.5, 20.6, 37, 1.8, 0, 0
1, 2, 8, 7, 91.4, 142.4, 601.4, 10.6, 19.5, 39, 6.3, 0, 0
4, 4, 9, 3, 92.9, 133.3, 699.6, 9.2, 26.4, 21, 4.5, 0, 88.49
3, 4, 9, 2, 91, 129.5, 692.6, 7, 13.9, 59, 6.3, 0, 11.24
6, 5, 6, 1, 90.4, 93.3, 298.1, 7.5, 20.7, 25, 4.9, 0, 0
4, 3, 8, 3, 92.1, 111.2, 654.1, 9.6, 20.4, 42, 4.9, 0, 0
2, 4, 9, 3, 87.9, 84.8, 725.1, 3.7, 21.8, 34, 2.2, 0, 6.04
6, 5, 9, 5, 93.3, 141.2, 713.9, 13.9, 22.9, 44, 5.4, 0, 0
6, 3, 9, 5, 92.5, 122, 789.7, 10.2, 19.7, 39, 2.7, 0, 0
5, 4, 4, 7, 91, 14.6, 25.6, 12.3, 17.6, 27, 5.8, 0, 0
2, 5, 8, 7, 91.6, 181.3, 613, 7.6, 24.8, 36, 4, 0, 3.05
3, 6, 9, 7, 92.4, 124.1, 680.7, 8.5, 17.2, 58, 1.3, 0, 0
2, 4, 1, 6, 82.1, 3.7, 9.3, 2.9, 5.3, 78, 3.1, 0, 0
1, 4, 8, 6, 90.2, 96.9, 624.2, 8.9, 20.3, 39, 4.9, 0, 4.53
6, 5, 9, 3, 92.9, 133.3, 699.6, 9.2, 26.4, 21, 4.5, 0, 0
4, 6, 2, 6, 68.2, 21.5, 87.2, 0.8, 15.4, 40, 2.7, 0, 0
