@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
6, 3, 9, 1, 91.6, 108.4, 764, 6.2, 23, 34, 2.2, 0, 56.04
4, 5, 3, 4, 91.4, 30.7, 74.3, 7.5, 18.2, 29, 3.1, 0, 0
2, 5, 8, 5, 93.9, 135.7, 586.7, 15.1, 23.5, 36, 5.4, 0, 10.02
5, 5, 8, 7, 94, 47.9, 100.7, 10.7, 17.3, 80, 4.5, 0, 0
9, 4, 9, 2, 84.4, 73.4, 671.9, 3.2, 24.3, 36, 3.1, 0, 105.66
6, 5, 4, 1, 87.9, 24.9, 41.6, 3.7, 10.9, 64, 3.1, 0, 3.35
3, 4, 12, 1, 85.4, 25.4, 349.7, 2.6, 4.6, 21, 8.5, 0, 10.73
5, 4, 8, 7, 93.6, 235.1, 723.1, 10.1, 24.1, 50, 4, 0, 0
2, 4, 8, 3, 94.5, 139.4, 689.1, 20, 29.2, 30, 4.9, 0, 1.95
1, 2, 9, 7, 93.5, 149.3, 728.6, 8.1, 25.3, 36, 3.6, 0, 0
5, 4, 9, 5, 92.1, 99, 745.3, 9.6, 12.8, 64, 3.6, 0, 1.64
4, 3, 8, 4, 91.7, 114.3, 661.3, 6.3, 17.6, 45, 3.6, 0, 0
1, 3, 8, 5, 95.9, 158, 633.6, 11.3, 32.4, 27, 2.2, 0, 0
7, 4, 8, 6, 91.8, 170.9, 692.3, 13.7, 23.7, 40, 1.8, 0, 1.38
6, 3, 9, 6, 93.4, 145.4, 721.4, 8.1, 30.2, 24, 2.7, 0, 0
7, 4, 8, 7, 81.6, 56.7, 665.6, 1.9, 21.2, 70, 6.7, 0, 11.16
8, 6, 8, 1, 92.1, 207, 672.6, 8.2, 21.1, 54, 2.2, 0, 0
5, 4, 7, 3, 93.7, 101.3, 458.8, 11.9, 19.3, 39, 7.2, 0, 7.73
4, 5, 3, 5, 85.9, 19.5, 57.3, 2.8, 12.7, 52, 6.3, 0, 0
4, 5, 2, 7, 85, 9, 56.9, 3.5, 10.1, 62, 1.8, 0, 51.78
