@relation contraceptive
@attribute Wife_age integer[16,49]
@attribute Wife_education integer[1,4]
@attribute Husband_education integer[1,4]
@attribute Children integer[0,16]
@attribute Wife_religion integer[0,1]
@attribute Wife_working integer[0,1]
@attribute Husband_occupation integer[1,4]
@attribute Standard-of-living integer[1,4]
@attribute Media_exposure integer[0,1]
@attribute Contraceptive_method {1,2,3}
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure 
@output Contraceptive_method
@data
44, 3, 3, 9, 1, 1, 1, 1, 0, 2
26, 4, 4, 1, 1, 0, 2, 3, 0, 2
38, 2, 2, 8, 1, 1, 2, 2, 0, 2
29, 3, 4, 3, 1, 1, 1, 3, 0, 2
24, 4, 4, 2, 1, 1, 2, 4, 0, 2
35, 4, 4, 5, 1, 1, 1, 4, 0, 2
42, 3, 3, 4, 0, 1, 3, 4, 0, 2
43, 4, 4, 5, 0, 1, 1, 4, 0, 2
34, 3, 3, 6, 1, 1, 1, 4, 0, 3
43, 4, 4, 5, 0, 1, 1, 4, 0, 3
35, 3, 4, 4, 1, 0, 1, 4, 0, 3
36, 4, 4, 4, 1, 1, 1, 3, 0, 3
21, 4, 4, 2, 1, 1, 2, 3, 0, 3
26, 4, 4, 1, 1, 0, 2, 4, 0, 3
22, 3, 3, 1, 1, 1, 3, 2, 0, 3
30, 2, 2, 6, 1, 0, 2, 3, 0, 3
26, 3, 3, 2, 1, 0, 2, 2, 0, 3
38, 4, 4, 4, 1, 0, 1, 4, 0, 3
26, 4, 4, 3, 1, 1, 3, 2, 0, 3
28, 4, 4, 4, 1, 1, 3, 4, 0, 3
46, 2, 2, 5, 1, 1, 2, 4, 0, 3
41, 1, 4, 5, 1, 0, 2, 4, 0, 3
31, 4, 4, 4, 1, 0, 3, 4, 0, 3
27, 4, 4, 2, 0, 0, 2, 4, 0, 3
34, 4, 4, 2, 0, 0, 2, 4, 0, 3
