ST04Q01,ST15Q01,ST19Q01,misced,fisced,CLCUSE1,ESCS,FAMSTRUC,BELONG,STUDREL,ATTLNACT,ATSCHL,ANXMAT,FAILMAT,INSTMOT,INTMAT,SMATBEH,MATHEFF,MATINTFC,MATWKETH,SCMAT,SUBNORM,PV1MATH
1,1,1,4,4,2,0.4,2,-0.56,-0.02,-0.9394,0.24,0.56,0.3889,-0.67,-0.34,-1.0226,-0.48,-0.8566,0.2882,-0.29,-0.0455,1
1,4,1,4,5,3,0.21,1,-0.37,-1.04,-0.9394,-0.24,-1.0,-0.3017,-1.33,0.3,0.4486,1.47,0.1775,0.4684,0.88,0.3026,1
2,1,1,4,2,1,-0.01,2,-0.54,-0.02,-0.9394,-0.24,-0.2,-0.53,-0.39,0.0,0.2171,-0.02,-0.1091,0.4684,0.12,-0.3852,1
2,4,1,6,6,2,-0.23,2,-0.15,-0.02,0.5206,-0.64,-0.47,-1.2999,-0.39,0.3,-2.1402,-1.06,-0.7332,0.2882,-0.29,-0.7176,1
2,4,1,3,2,3,0.31,2,0.32,-0.02,-0.9394,1.38,-0.47,-0.076,0.05,0.91,0.6426,2.27,0.6584,-0.2356,0.41,-0.0455,1
2,1,1,3,3,2,-1.08,1,-0.56,-0.79,-1.7015,-0.64,0.32,1.5828,-0.67,0.0,-1.0226,-0.63,0.6584,-0.5641,0.18,-0.7176,1
2,1,1,3,2,2,-1.05,2,0.08,-0.02,0.5206,0.24,-0.47,0.1524,0.05,0.91,0.4486,0.78,-0.2514,-0.0651,0.88,-0.0455,1
2,2,1,5,2,3,0.64,2,-0.37,-1.26,0.0873,-0.64,0.56,0.1524,0.05,-0.34,-2.1402,0.34,1.4565,-0.7235,-0.76,-1.0426,1
2,1,1,6,6,4,0.64,2,-0.37,-1.68,-0.9394,-0.95,-0.2,0.1524,0.05,0.3,1.0998,1.47,0.6584,-0.0651,1.7,-0.7176,1
2,1,1,6,6,3,1.04,2,1.1,-0.02,-1.9158,-0.24,0.56,0.3889,-0.39,0.58,0.811,1.47,-0.2514,-0.0651,1.38,0.3026,1
2,1,1,6,5,1,0.84,2,-0.74,-0.02,-0.9394,-0.95,-0.47,0.64,-2.3,-0.66,-0.0721,-0.33,0.1775,-0.0651,-0.52,-1.6717,1
2,2,1,4,6,4,0.71,2,-0.9,-0.02,0.0873,-0.64,-0.2,-0.3017,0.05,0.3,-0.0721,-0.48,0.1775,0.1099,-0.29,-0.3852,1
1,1,1,5,5,2,0.46,2,0.32,-0.02,0.0873,0.24,-0.47,-1.2999,0.05,1.23,0.811,0.78,-0.7332,1.2128,2.26,0.6602,1
2,1,1,5,5,2,0.82,2,0.08,-0.48,1.2115,0.77,0.06,0.64,-1.12,-0.66,-2.1402,0.78,-1.5329,0.1099,-1.61,-0.0455,1
2,4,1,4,2,4,-1.11,2,0.76,-0.02,-0.9394,-1.22,-0.47,0.3889,0.05,0.3,-0.4567,-0.02,-0.4887,0.2882,0.65,-0.7176,1
2,2,1,5,5,4,0.69,2,0.08,-1.47,0.5206,-0.64,-0.2,0.9139,0.05,-1.27,0.6426,0.54,-0.477,-0.2356,-0.52,-0.0455,1
2,4,4,2,3,4,-0.71,1,-0.9,-0.79,-0.9394,-0.24,0.06,0.64,0.05,0.0,-1.0226,-0.02,1.4565,-0.5641,-0.52,-0.3852,1
1,1,1,6,2,2,0.29,2,-2.04,-1.91,0.0873,1.38,0.79,1.5828,-0.9,-0.95,-1.0226,-0.02,-0.2514,-1.3412,0.18,-1.6717,1
1,1,1,5,3,3,0.83,2,-0.74,-0.02,0.5206,-0.24,-0.47,-0.53,1.59,0.58,0.4486,0.15,1.4565,2.7167,0.65,-0.7176,1
1,2,1,6,6,3,1.29,2,-0.56,-0.48,0.5206,-0.64,0.32,0.1524,-0.67,-0.66,-0.4567,-0.02,-1.1576,-0.2356,-0.06,-0.3852,1
1,2,1,3,6,3,1.06,2,-0.56,0.45,1.2115,1.38,-0.2,0.1524,-0.67,-0.34,-0.4567,0.15,0.1775,0.649,0.18,0.3026,1
2,2,1,4,4,3,0.54,2,1.84,2.16,1.2115,1.38,-2.37,-0.767,1.59,1.51,-0.4567,0.78,0.6584,2.7167,2.21,1.4014,1
1,1,1,3,3,3,-0.1,2,1.42,-0.02,0.5206,0.24,-0.73,0.64,1.11,0.91,-0.4567,1.07,-0.7332,1.4298,0.88,-0.3852,1
1,1,1,3,3,3,0.15,2,-0.56,-0.48,-0.9394,0.24,-0.47,-0.3017,0.8,0.58,-0.0721,1.07,-0.2514,2.7167,0.65,-0.3852,1
2,1,4,6,3,3,1.25,1,-0.15,0.45,-0.9394,0.77,-0.2,1.2219,-0.67,-1.27,0.4486,1.07,1.4565,0.4684,0.88,-0.7176,1
1,4,1,6,6,3,1.15,2,-0.74,-0.02,-0.9394,-0.24,-0.2,0.1524,0.05,-0.34,0.0458,-0.18,0.1775,0.1099,0.65,-0.0455,1
2,1,1,6,3,3,1.05,2,-1.42,-0.02,-1.4236,-0.64,0.32,0.9139,-0.39,-0.95,-0.4567,-0.63,-1.5329,-0.4017,-0.76,-1.0426,1
1,2,1,3,5,3,0.68,2,0.08,-0.48,1.2115,-0.95,-1.0,0.1524,-0.39,0.0,0.4486,1.07,1.4565,-0.4017,0.88,-0.0455,1
1,1,1,6,6,3,1.44,2,0.56,-0.02,1.2115,0.24,-0.2,-0.3017,-0.67,0.0,0.2171,-0.33,-0.1829,-0.4017,-0.52,-0.3852,1
1,1,1,6,6,3,2.08,2,0.82,0.45,0.5206,0.24,0.79,-0.53,0.05,0.91,-0.4567,-0.18,-0.2514,0.4684,-0.06,0.6602,1
1,4,1,3,5,2,1.11,2,-0.37,-0.48,0.0873,-0.24,-0.2,-0.076,0.05,-0.34,-0.4567,-0.48,0.6584,0.1099,-0.29,-0.0455,1
1,2,1,3,3,3,0.25,2,-1.05,0.45,0.0873,-0.95,-1.3,-0.53,1.59,2.29,0.6426,0.15,1.4565,2.7167,1.38,0.6602,1
2,4,1,4,6,3,0.95,2,1.1,1.13,1.2115,0.77,-1.3,-0.767,0.8,-0.34,-2.1402,0.78,0.6584,0.2882,0.41,0.3026,1
1,4,3,5,3,3,-0.47,1,-0.15,-0.02,0.0873,-0.95,0.79,-0.076,-0.9,0.0,-0.4567,-0.33,-0.7332,-0.0651,-0.29,-0.7176,1
1,2,1,6,5,3,0.5,2,-0.74,-0.48,-0.9394,-0.95,-0.47,0.1524,0.05,0.58,-1.0226,-0.18,1.4565,-0.2356,0.41,0.3026,1
2,1,3,3,3,3,-0.21,2,0.32,0.81,1.2115,0.24,-1.0,-0.53,1.11,0.91,0.6426,1.07,-0.2514,1.4298,1.38,1.0265,1
1,1,1,5,5,2,0.76,2,0.32,0.45,0.5206,1.38,-0.47,-0.767,-0.39,-0.66,-0.4567,0.78,-0.2514,-0.2356,1.12,-1.0426,1
2,2,1,3,3,3,0.82,2,1.1,1.51,1.2115,0.24,-1.68,-0.53,1.59,1.23,0.4486,1.47,1.4565,1.4298,1.38,1.0265,1
2,1,1,6,6,3,0.99,2,2.63,2.16,1.2115,0.77,-1.3,0.3889,1.59,1.51,0.2171,1.07,1.4565,2.7167,1.12,0.6602,1
1,2,1,6,3,3,0.81,2,-0.9,0.81,1.2115,-0.24,-0.2,0.1524,0.8,-0.34,-0.0721,0.34,-0.7332,0.8307,-0.06,2.8039,1
1,1,1,6,6,4,1.31,2,-0.9,-0.02,0.0873,1.38,1.02,0.1524,0.05,-0.34,-0.4567,1.47,0.1775,-0.4017,-0.76,-0.0455,1
1,1,2,6,6,3,-0.24,2,-0.15,-0.02,0.0873,-0.24,-0.73,0.9139,1.11,0.91,1.4702,0.78,-0.2514,0.2882,0.65,0.6602,1
2,4,1,4,6,2,1.21,2,2.63,1.13,1.2115,1.38,-2.37,-2.0269,1.59,2.29,0.2171,2.27,0.6584,1.2128,1.7,1.7943,1
1,1,1,6,4,3,0.97,2,-0.37,-0.02,1.2115,0.24,-0.47,-0.3017,0.8,0.91,0.2171,0.15,-0.2514,2.7167,0.18,-0.0455,1
2,1,1,4,4,2,0.24,1,0.82,0.81,1.2115,0.77,-0.73,-2.0269,0.5,0.0,0.4486,-0.18,0.1775,1.2128,0.88,1.4014,1
1,1,1,3,6,3,1.13,2,0.56,1.51,-0.9394,-0.95,-0.47,-0.53,0.05,-1.27,-0.4567,0.78,-0.2514,0.4684,-0.06,1.0265,1
1,1,1,6,5,3,1.01,2,-0.37,0.81,0.5206,0.24,-0.2,-1.0202,0.5,0.3,-0.0721,0.15,-0.2514,0.4684,0.18,1.0265,1
2,1,1,5,4,3,0.37,2,1.42,1.51,1.2115,0.24,-1.3,-0.076,1.59,2.29,-1.0226,1.47,0.1775,1.2128,1.38,2.8039,1
2,2,1,6,5,3,0.9,2,-0.56,-0.02,-0.9394,-0.95,-0.47,-1.0202,0.05,0.91,-0.0721,0.54,1.4565,1.4298,0.65,0.3026,1
2,2,1,4,5,3,0.99,2,0.08,-0.02,0.0873,-0.24,-1.0,-0.767,0.05,0.3,-0.0721,0.34,0.1775,1.6881,0.88,-0.7176,1
2,2,1,3,3,3,0.24,2,1.84,1.13,1.2115,2.35,-1.68,0.1524,1.59,1.51,1.0998,2.27,1.4565,2.0389,2.26,1.4014,1
2,2,1,5,4,3,0.33,1,-0.56,-0.02,-0.9394,-0.24,0.32,-0.3017,0.05,-0.34,0.4486,1.07,0.6584,0.2882,-0.29,0.3026,1
2,2,1,5,6,3,1.18,2,-0.15,1.13,0.0873,-0.24,-2.37,0.3889,0.8,1.81,0.9618,0.54,-0.2514,1.4298,2.26,1.0265,1
1,1,1,6,6,3,1.29,2,-0.15,0.45,0.0873,-1.46,0.06,-0.767,-2.3,-1.78,-1.0226,2.27,-1.5329,-0.8805,0.41,0.3026,1
2,1,1,6,6,3,1.42,2,0.32,0.45,-0.9394,0.24,-2.37,-1.0202,1.11,0.91,1.2288,2.27,0.1775,0.1099,1.7,0.6602,1
1,1,1,3,3,3,0.03,2,-0.37,1.51,0.0873,0.77,-0.73,-1.2999,-0.67,-1.27,0.4486,-0.18,-0.2514,0.1099,-0.06,-0.3852,1
2,1,3,5,4,3,-0.02,1,-0.15,-0.02,-0.9394,0.77,-0.47,0.1524,0.8,-0.66,0.4486,0.15,-0.2514,0.1099,0.65,-0.3852,1
2,1,1,6,5,3,1.45,2,0.56,1.13,1.2115,1.38,-1.68,-2.0269,0.5,0.91,0.6426,1.07,-0.2514,1.6881,0.88,0.3026,1
2,1,1,6,5,3,0.86,2,-0.37,-0.02,1.2115,1.38,-0.73,-0.3017,0.05,0.91,0.6426,0.54,1.4565,1.2128,0.88,1.4014,1
2,1,1,3,6,3,1.18,2,0.56,0.45,1.2115,0.24,-1.0,-2.0269,1.11,0.58,0.2171,1.07,0.1775,0.649,0.65,1.4014,1
2,1,1,3,3,5,0.64,2,0.08,-0.48,1.2115,1.38,-1.68,-1.0202,1.59,1.23,0.6426,2.27,1.4565,1.4298,1.7,-0.0455,1
2,4,1,3,4,3,-0.98,2,-0.37,-0.02,-0.9394,0.24,-0.47,-2.0269,0.5,0.91,-1.0226,1.47,1.4565,-0.0651,0.65,0.3026,1
1,1,1,6,6,3,0.85,1,-1.64,-1.04,1.2115,-0.24,-0.73,-0.076,1.59,2.29,0.6426,1.07,1.4565,1.4298,0.88,2.235,1
2,4,1,4,5,3,1.39,2,-2.44,-0.48,-0.9394,-0.64,0.79,-0.53,-0.9,-1.27,-0.0721,1.47,-0.7332,0.2882,-0.29,-0.0455,1
2,2,1,5,6,3,0.92,2,-0.9,0.45,-0.3397,-1.22,-1.0,-0.53,0.05,2.29,-0.0721,2.27,-0.2514,0.1099,1.38,-0.0455,1
2,2,1,5,3,3,1.16,2,0.32,0.81,1.2115,-0.64,-1.0,-1.6239,1.59,2.29,0.2171,1.47,-0.2514,2.7167,1.12,0.6602,1
2,2,1,6,6,3,1.27,2,0.32,1.13,0.5206,0.77,-1.3,-0.767,-0.39,0.58,-1.0226,0.34,-0.2514,-0.0651,0.88,-0.3852,1
1,1,1,5,5,2,0.84,2,0.32,0.81,1.2115,1.38,0.06,-0.076,0.5,-0.34,-0.0721,-0.18,-0.7332,0.8307,-0.06,-0.0455,1
2,4,1,6,6,3,1.71,2,2.63,1.51,1.2115,1.38,-1.68,-3.7666,1.59,0.91,-0.4567,0.54,1.4565,-0.5641,1.12,0.6602,1
1,1,1,3,3,3,-0.1,2,-0.15,-0.02,1.2115,0.24,-0.2,-0.076,0.8,1.23,-0.4567,1.07,-0.2514,-0.0651,0.65,-1.0426,1
2,1,1,6,6,3,0.84,2,0.56,-0.02,-0.9394,0.24,-0.47,-1.0202,-0.39,0.91,0.2171,0.78,1.4565,0.2882,0.41,0.3026,1
2,1,1,5,5,2,1.14,2,2.63,0.81,1.2115,-0.24,-0.47,0.3889,1.59,1.51,-1.0226,0.34,0.1775,2.0389,0.88,1.7943,1
2,1,1,6,6,2,1.0,2,0.82,1.51,1.2115,0.24,-0.73,-3.7666,0.8,0.91,0.4486,1.07,0.1775,-0.8805,0.65,0.6602,1
1,1,1,6,6,3,2.05,2,0.82,1.51,1.2115,2.35,-0.47,-1.0202,1.11,1.81,-0.4567,2.27,0.1775,1.4298,0.65,1.0265,1
2,1,1,6,6,3,-0.04,2,2.63,1.13,1.2115,1.38,-1.3,-1.2999,1.59,0.58,0.2171,1.47,-0.2514,0.649,0.65,1.0265,1
2,1,1,6,6,3,1.25,2,0.08,0.81,1.2115,-0.24,-2.37,-1.0202,0.05,0.58,-0.0721,1.07,0.1775,2.7167,2.26,-0.0455,1
2,1,1,6,6,3,0.87,2,-0.9,-0.02,1.2115,1.38,0.32,-0.53,-0.9,-1.78,-0.0721,-0.48,-1.3074,-1.1886,-0.52,-1.0426,1
2,1,1,6,2,2,0.62,2,-1.2,-0.05,-1.4236,-1.37,-0.47,-0.076,0.05,0.58,-0.0964,0.34,1.4565,0.0233,0.86,-0.0455,1
2,2,1,6,6,3,1.3,2,-0.56,-0.02,-0.9394,-0.24,-0.47,-0.076,0.05,-0.34,1.0998,-0.18,-0.7332,-0.2356,0.65,-0.0455,1
2,1,1,6,5,3,0.62,2,1.1,-0.02,-0.3397,0.77,-2.37,-2.5995,0.05,1.51,-2.1402,1.07,1.4565,0.1099,1.12,0.6602,1
1,2,2,5,4,3,0.06,1,0.08,0.45,0.5206,0.24,-0.2,-0.767,0.8,0.91,0.2171,-0.02,-0.2514,0.8307,0.18,0.3026,1
2,1,1,3,3,3,-0.07,2,-1.3,-1.04,-0.3397,0.24,-0.2,-0.767,-0.9,-1.27,-0.0721,0.15,-1.334,0.2882,-0.06,0.3026,1
2,2,1,4,3,3,0.31,2,0.32,2.16,1.2115,2.35,-1.68,-1.0202,1.59,1.51,-0.0721,1.07,-0.7332,2.7167,1.7,1.0265,1
2,1,1,6,5,3,0.99,2,2.63,-0.48,1.2115,-0.24,-0.73,-2.5995,0.8,0.0,0.6426,2.27,0.6584,1.0166,0.18,0.3026,1
2,1,1,6,2,3,0.89,2,0.56,2.16,1.2115,0.77,0.06,-0.3017,0.5,0.3,0.2171,-0.33,0.1775,-0.5641,-0.29,-0.3852,1
2,1,1,5,5,3,0.19,2,0.32,0.81,1.2115,1.38,-0.2,-0.767,0.8,0.91,0.2171,0.78,-0.2514,0.2882,0.41,1.0265,1
1,2,1,6,6,2,1.22,2,-0.15,-0.02,1.2115,0.24,-0.47,-1.6239,0.05,0.0,-0.4567,-0.18,0.1775,-0.0651,0.41,0.3026,1
2,1,2,5,4,3,0.27,2,-0.37,2.16,1.2115,2.35,-0.47,0.1524,1.11,1.23,0.811,0.54,-0.2514,1.4298,0.41,-0.7176,1
2,1,1,3,4,3,0.39,2,-1.53,-0.79,-0.9394,0.24,-1.0,-0.767,0.5,0.91,0.9618,2.27,1.4565,0.649,0.88,-1.0426,1
1,2,3,6,6,3,1.12,1,0.08,0.45,1.2115,1.38,-0.47,-0.3017,0.05,0.0,-0.0721,2.27,-0.7332,-0.7235,-0.06,0.3026,1
1,2,1,5,3,3,1.03,2,-0.9,1.51,0.5206,0.24,0.32,-0.3017,-0.9,0.0,0.6426,-0.18,-0.7332,0.2882,-0.52,0.3026,1
1,1,1,6,6,3,1.7,2,0.82,0.81,1.2115,0.77,-1.3,-0.076,0.8,0.91,-0.0721,-0.02,0.1775,2.7167,1.12,2.235,1
1,1,1,4,4,3,-0.26,2,-0.74,-0.02,-0.9394,-0.64,-0.2,0.1524,-1.12,0.0,-2.1402,0.15,-0.2514,-0.5641,0.65,-0.3852,1
1,1,1,6,6,3,1.04,2,0.32,-0.79,1.2115,-0.24,0.56,0.9139,-0.39,-1.78,0.6426,-0.33,-0.7332,-0.5641,-0.76,0.6602,1
1,1,1,4,3,3,0.79,2,-0.74,1.13,1.2115,0.77,0.06,0.1524,0.5,-0.34,0.2171,-0.63,-0.3534,1.2128,-0.29,-0.0455,1
1,2,1,6,6,3,0.85,2,0.56,-0.02,1.2115,-0.95,-0.47,-0.076,0.05,-0.34,-0.0721,0.34,0.6584,0.1099,0.41,-0.3852,1
2,4,1,5,6,3,0.92,2,-0.9,-0.48,1.2115,-0.24,0.06,-2.0269,-0.9,-0.34,-2.1402,0.34,-1.5329,-1.0353,0.18,-0.7176,1
2,1,1,6,5,3,1.53,2,0.56,0.81,1.2115,0.77,-2.37,-1.0202,1.11,2.29,0.4486,0.34,0.6584,1.6881,1.38,0.3026,1
2,1,1,4,6,3,0.63,2,0.56,0.45,0.5206,0.24,-1.0,-2.0269,0.5,1.23,-0.0721,0.78,1.4565,1.0166,1.12,-0.0455,1
1,1,1,2,6,2,0.75,1,-2.27,-1.47,-1.7015,-0.64,-0.47,-0.767,1.59,2.29,-0.4567,2.27,-0.2514,1.2128,1.7,-0.8715,1
1,2,1,6,6,3,0.99,2,-0.56,0.81,1.2115,-0.64,-0.73,0.3889,-0.39,0.3,0.4486,2.27,0.0758,-1.0353,1.7,0.6602,1
2,1,1,6,6,3,1.18,2,-0.15,-0.02,1.2115,-0.64,0.06,-0.3017,-0.67,-0.34,-0.4567,1.07,-1.5329,-0.0651,-0.29,0.3026,1
1,2,1,6,6,3,1.86,2,0.32,-0.02,1.2115,0.24,1.53,1.2219,0.5,-0.66,-0.4567,0.34,-1.5329,-0.2356,-0.76,1.0265,1
1,4,4,2,2,2,-1.98,1,-1.42,-1.26,-0.3397,-0.24,0.56,-0.076,0.5,0.0,0.2171,1.47,-0.7332,-0.2356,0.41,-0.7176,1
1,2,1,6,6,3,1.57,2,0.82,1.51,1.2115,2.35,-0.47,-0.767,0.05,-0.95,-0.4567,-0.33,0.1775,-0.0651,0.41,-0.7176,1
1,2,1,4,3,3,0.1,2,1.42,1.13,1.2115,-0.24,0.56,-0.076,-1.33,-1.27,-0.4567,-0.48,-1.5329,0.2882,-0.76,-1.3599,1
2,1,1,6,6,1,0.9,2,-3.0,-1.04,-1.9158,-1.22,-0.2,0.1524,0.05,0.58,-1.0226,-0.02,-0.2514,-0.2356,0.41,-0.0455,1
2,1,1,4,4,2,-0.24,2,-0.56,-0.54,-0.3397,-0.95,-0.2,0.1524,0.5,0.91,-1.0226,1.07,-0.2514,-0.0651,0.27,-0.0455,1
2,1,1,6,6,3,1.22,2,1.3,0.81,1.2115,0.77,-0.47,-0.3017,1.59,0.58,0.6426,1.07,-0.2514,0.649,0.88,0.6602,1
2,1,1,6,6,2,1.12,2,-0.56,-0.48,-0.9394,-0.64,-0.47,-0.3017,-0.39,0.58,0.6426,0.54,-0.2514,1.2128,0.41,-0.7176,1
2,4,1,4,5,2,1.49,2,1.1,2.16,1.2115,1.38,-1.0,0.1524,0.05,0.58,0.2171,2.27,-0.2514,0.1099,1.12,0.3026,1
1,4,2,6,6,2,1.28,2,-1.87,-2.16,-1.4236,-2.31,-1.0,1.2219,0.8,1.51,0.6426,2.27,-0.7332,-0.7235,1.38,-0.7176,1
2,2,1,6,6,2,1.08,2,-1.05,-1.91,-0.9394,-0.95,-1.0,0.1524,0.05,2.29,1.3516,2.27,0.6088,0.1099,0.88,1.7943,1
2,1,1,4,4,2,0.0,2,-0.15,-0.02,1.2115,-0.95,1.89,2.0328,1.11,0.91,1.4702,2.27,-0.2514,0.4684,1.12,-0.0455,1
2,4,1,2,6,3,0.21,2,-0.37,1.51,0.0873,-0.24,-0.47,-0.076,0.05,-0.34,0.2171,0.15,-0.7332,0.2882,0.41,-0.7176,1
2,4,1,4,2,2,-1.51,2,1.42,1.51,1.2115,2.35,-2.37,-3.7666,0.8,0.58,0.811,0.78,-0.7332,2.0389,1.38,-1.6717,1
1,1,1,6,6,2,1.06,2,-0.15,-0.02,-1.7015,-0.24,-0.2,1.5828,-1.12,-1.27,-2.1402,-0.92,-1.5329,-0.7235,0.18,-0.3852,1
1,1,1,6,6,1,1.15,2,-0.37,-0.02,-1.4236,-0.24,-0.2,-0.53,0.8,0.91,1.2288,1.07,-0.2514,-0.0651,1.7,1.0265,1
1,1,1,5,6,2,0.85,2,0.56,1.51,0.5206,0.77,0.06,0.3889,-0.39,0.3,1.5866,-0.18,-1.4741,0.2882,0.41,0.6602,1
2,1,1,6,6,1,1.88,2,-0.56,-0.79,0.5206,-0.64,-1.0,-0.53,1.59,1.81,1.3516,1.47,-0.2514,1.4298,2.26,1.7943,1
2,1,1,6,5,2,0.62,2,-0.15,-0.02,0.0873,0.77,-1.68,-0.53,1.59,1.51,1.0998,-0.18,1.4565,0.8307,1.12,0.6602,1
2,4,1,4,5,2,-0.22,2,0.56,-0.02,-0.9394,-1.22,-2.37,-0.3017,1.59,2.29,0.811,0.54,1.4565,0.8307,2.26,0.3026,1
2,4,3,5,5,2,-0.69,2,-0.9,-0.48,-0.9394,-1.46,0.79,0.64,-0.39,0.3,1.3516,0.15,1.4565,-0.4017,-0.52,-0.3852,1
1,1,1,6,5,2,1.2,2,0.32,-0.48,-0.9394,0.24,-0.73,-0.3017,-0.67,-1.78,-0.4567,0.34,1.4565,-0.8805,0.41,-0.3852,1
2,1,1,6,4,3,0.73,2,0.32,-0.48,0.0873,0.77,-0.47,-1.2999,0.8,0.91,1.0998,0.78,1.4565,-0.2356,0.65,-0.3852,1
1,1,1,6,3,3,0.4,2,-1.87,-1.04,-0.9394,-0.95,0.06,2.6645,-0.67,-1.78,-0.4567,1.47,-1.5329,-0.8805,-1.28,-0.7176,1
1,1,1,4,4,3,-0.01,2,0.56,-0.02,1.2115,1.38,-1.68,0.1524,1.11,0.91,0.6426,2.27,0.1775,0.4684,0.65,0.3026,1
2,1,1,6,6,3,1.18,1,1.42,-1.47,-1.4236,0.77,-0.47,-1.2999,1.59,2.29,1.2288,2.27,1.4565,1.2128,1.7,3.8587,1
2,1,1,6,6,3,1.07,1,0.56,-0.79,0.5206,1.38,-0.47,0.64,0.8,-1.78,1.0998,0.54,0.6584,0.8307,1.7,-0.3852,1
2,1,1,3,3,1,-1.11,2,1.84,0.45,-0.9394,0.77,-0.47,-0.3017,0.05,0.0,0.6426,-0.33,1.4565,-0.2356,0.65,-0.0455,1
2,1,1,4,3,3,0.12,2,0.56,-0.02,1.2115,0.24,0.32,0.1524,1.59,0.58,1.2288,1.07,1.4565,0.2882,0.18,0.6602,1
2,4,1,6,6,3,1.36,2,1.42,-0.02,-0.3397,1.38,-0.73,-0.767,1.11,0.91,0.6426,1.47,-0.1191,1.4298,0.41,2.8039,1
1,1,1,4,4,3,-0.87,2,0.32,-1.04,0.0873,0.24,-1.68,-1.2999,-2.3,-0.95,0.2171,0.54,-1.5329,-0.8805,1.12,-1.3599,1
1,1,1,4,4,2,-0.18,1,1.42,-0.79,1.2115,0.77,-0.2,0.3889,0.05,0.91,0.6426,1.07,-0.2514,0.1099,0.18,-0.0455,1
2,1,1,6,4,3,1.12,2,0.08,-1.04,-1.7015,-0.24,0.06,0.64,0.05,-0.95,-0.4567,-0.18,1.4565,-0.5641,-0.76,-0.7176,1
